feature,importance,pct_importance
nr. sessions.1_std_28d,0,0.0
max training success_std_28d,0,0.0
total km Z5-T1-T2.2_std_28d,0,0.0
total km Z3-4.2_mean_28d,0,0.0
total km Z3-4.2_std_28d,0,0.0
total km Z3-4.2_max_28d,0,0.0
total km Z3-4.2_min_28d,0,0.0
max km Z3-4 one day.2_mean_28d,0,0.0
max km Z3-4 one day.2_std_28d,0,0.0
max km Z3-4 one day.2_max_28d,0,0.0
max km Z3-4 one day.2_min_28d,0,0.0
total km Z5-T1-T2.2_mean_28d,0,0.0
total km Z5-T1-T2.2_max_28d,0,0.0
max training success_max_28d,0,0.0
total km Z5-T1-T2.2_min_28d,0,0.0
max km Z5-T1-T2 one day.2_mean_28d,0,0.0
max km Z5-T1-T2 one day.2_std_28d,0,0.0
max km Z5-T1-T2 one day.2_max_28d,0,0.0
max km Z5-T1-T2 one day.2_min_28d,0,0.0
total hours alternative training.2_mean_28d,0,0.0
total hours alternative training.2_std_28d,0,0.0
total hours alternative training.2_max_28d,0,0.0
total hours alternative training.2_min_28d,0,0.0
nr. days with interval session.2_min_28d,0,0.0
nr. rest days_max_7d,0,0.0
nr. days with interval session.2_std_28d,0,0.0
nr. days with interval session.2_mean_28d,0,0.0
max recovery.1_min_28d,0,0.0
nr. sessions.2_mean_28d,0,0.0
nr. sessions.2_std_28d,0,0.0
nr. rest days.2_mean_28d,0,0.0
nr. rest days.2_max_28d,0,0.0
nr. rest days_min_7d,0,0.0
total kms.2_mean_28d,0,0.0
total kms.2_std_28d,0,0.0
total kms.2_max_28d,0,0.0
total kms.2_min_28d,0,0.0
max km one day.2_mean_28d,0,0.0
max km one day.2_std_28d,0,0.0
max km one day.2_max_28d,0,0.0
max km one day.2_min_28d,0,0.0
total km Z3-Z4-Z5-T1-T2.2_mean_28d,0,0.0
total km Z3-Z4-Z5-T1-T2.2_max_28d,0,0.0
total km Z3-Z4-Z5-T1-T2.2_min_28d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.2_std_28d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.2_min_28d,0,0.0
nr. strength trainings.2_mean_28d,0,0.0
nr. strength trainings.2_std_28d,0,0.0
nr. strength trainings.2_max_28d,0,0.0
avg recovery.2_mean_28d,0,0.0
avg recovery.2_min_28d,0,0.0
min recovery.2_mean_28d,0,0.0
min recovery.2_std_28d,0,0.0
min recovery.2_max_28d,0,0.0
min recovery.2_min_28d,0,0.0
max recovery.2_std_28d,0,0.0
max recovery.2_max_28d,0,0.0
max recovery.2_min_28d,0,0.0
rel total kms week 0_1_mean_28d,0,0.0
rel total kms week 0_1_std_28d,0,0.0
rel total kms week 0_1_max_28d,0,0.0
rel total kms week 0_1_min_28d,0,0.0
rel total kms week 0_2_mean_28d,0,0.0
rel total kms week 0_2_std_28d,0,0.0
rel total kms week 0_2_min_28d,0,0.0
rel total kms week 1_2_mean_28d,0,0.0
rel total kms week 1_2_std_28d,0,0.0
rel total kms week 1_2_max_28d,0,0.0
rel total kms week 1_2_min_28d,0,0.0
avg recovery.2_std_28d,0,0.0
nr. sessions_min_7d,0,0.0
avg exertion.2_mean_28d,0,0.0
max training success.2_std_28d,0,0.0
avg exertion.2_std_28d,0,0.0
avg exertion.2_max_28d,0,0.0
avg exertion.2_min_28d,0,0.0
min exertion.2_mean_28d,0,0.0
min exertion.2_std_28d,0,0.0
min exertion.2_max_28d,0,0.0
max exertion.2_mean_28d,0,0.0
max exertion.2_std_28d,0,0.0
max exertion.2_max_28d,0,0.0
max exertion.2_min_28d,0,0.0
avg training success.2_mean_28d,0,0.0
avg training success.2_std_28d,0,0.0
avg training success.2_max_28d,0,0.0
avg training success.2_min_28d,0,0.0
min training success.2_mean_28d,0,0.0
min training success.2_std_28d,0,0.0
min training success.2_max_28d,0,0.0
nr. rest days_mean_7d,0,0.0
max training success.2_mean_28d,0,0.0
max recovery.1_max_28d,0,0.0
max recovery.1_std_28d,0,0.0
max recovery.1_mean_28d,0,0.0
total kms.1_max_28d,0,0.0
max km one day.1_std_28d,0,0.0
max km one day.1_min_28d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_mean_28d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_std_28d,0,0.0
